fullName,gender,dob,age,contactNumber,email,address,city,state,pin,employmentType,employerName,netMonthlyIncome,loanType,loanAmount,loanTenure,hasIdentityProof,hasAddressProof,hasBankStatement,hasSalaryProof,declaration,travelDestination,travelPurpose,travelCost,departureDate,returnDate,loanApproved
Kelly Murphy,male,1976-09-03,37,(642)229-9062,vsanchez@example.net,178 Ian Route Suite 011,Brianberg,Louisiana,73806,business owner,Mcmillan and Sons,10978.696304780105,travel,2347.0853915330836,4,False,True,False,False,True,Zambia,business trip,9324.582260189063,2024-07-19,2024-09-03,False
Jennifer Obrien,female,1981-02-26,29,9379565448,sarareynolds@example.net,729 Hall Summit,Marybury,Pennsylvania,70577,salaried,"Wagner, George and Ingram",11924.361607664,travel,18485.38222295143,8,True,True,True,False,True,Niger,medical tourism,5544.144331291894,2024-07-05,2024-08-19,False
Sara Daniels,male,1988-01-25,67,3843824307,richardstracey@example.com,440 Peters Knolls Apt. 565,South Bryanmouth,Rhode Island,31189,business owner,Dawson-Griffin,11377.361025138678,travel,16393.841302294688,12,False,False,True,False,True,Greece,vacation,9263.611096040919,2024-06-23,2024-09-25,True
Jerry Nelson,female,1997-09-27,20,(503)598-9651x68907,robertskeith@example.org,81715 Gray Parkways,Lake Dennis,Tennessee,02336,salaried,Smith Ltd,43285.34775265521,travel,19867.509473460796,11,True,True,False,False,True,Saint Lucia,vacation,2219.9222934515583,2024-05-31,2024-08-21,False
Melanie Baker,female,1990-03-13,36,001-362-641-1498,richardnash@example.org,7771 Brian Trail Apt. 080,West Michael,Alabama,65031,salaried,Carson LLC,22849.986109299873,travel,15451.839410960898,8,True,True,False,True,True,Costa Rica,medical tourism,6072.915278953578,2024-06-05,2024-08-26,False
Tanya Owens,female,1992-06-16,20,+1-795-366-1681x88392,anthonyhudson@example.org,4577 Travis Harbor,West Michaelview,Vermont,25829,business owner,Vasquez LLC,31427.5886091366,travel,5489.023223091786,6,False,True,True,False,True,Qatar,business trip,3929.652830226816,2024-06-10,2024-09-21,True
John Mendez,female,1995-02-18,37,(761)654-7381,ymorales@example.net,333 Henry Forge,North Johnny,Connecticut,63454,salaried,Nelson Group,40538.56027122865,travel,15817.998035201676,9,False,False,False,False,True,Ghana,vacation,4529.693724576573,2024-06-06,2024-09-10,True
Tamara Brown,female,1995-10-29,36,+1-355-395-4489x8414,johnsonmark@example.com,418 Raymond Dale Suite 768,Phillipton,New Mexico,98464,self-employed,"Benjamin, Dean and Stanton",35547.47818292652,travel,13173.469096263441,11,False,True,False,True,True,Northern Mariana Islands,medical tourism,2680.079579489412,2024-05-26,2024-08-14,True
Valerie Greene,male,1954-05-19,47,+1-963-344-7695x71595,stoutjohn@example.net,772 Clark Common,Dawsonberg,Montana,43649,self-employed,Weeks PLC,34304.13623193264,travel,2372.187386595803,10,False,True,False,False,True,Sri Lanka,business trip,2587.3738222171214,2024-06-07,2024-09-04,True
Gregory Ramirez,male,1970-06-10,49,518-736-5860,mjohnson@example.com,025 Sarah Avenue,Simonside,Alabama,39143,business owner,Mcfarland-Woods,21927.6320358353,travel,9792.906868262595,5,True,True,True,False,True,Lesotho,medical tourism,4673.368889957711,2024-06-25,2024-08-26,True
Chad Myers,female,1996-01-14,39,528.371.7815,philliprodriguez@example.com,7509 Bell Shores Suite 496,Johnton,Mississippi,07031,business owner,Clarke-Peterson,42141.68666871787,travel,9617.41818874332,10,True,False,False,True,True,Greenland,medical tourism,5523.8543003336445,2024-06-01,2024-09-17,True
Jodi Thomas,male,1989-05-12,61,312-805-8778x78481,suarezdaniel@example.org,6232 Norris River Apt. 997,Richardfurt,North Carolina,64474,self-employed,Price-White,44824.006424244915,travel,16707.460669870954,7,False,True,False,False,True,Finland,vacation,3269.900249277478,2024-07-17,2024-08-14,False
Michael Estrada,female,1993-11-24,36,868-971-9720,carolpeterson@example.net,275 Gonzalez Overpass,East Johnside,New York,79727,business owner,Eaton-Hendrix,15914.033915489466,travel,7140.010933872829,8,True,True,True,True,True,Cook Islands,medical tourism,1618.0312742133228,2024-07-17,2024-08-09,False
Lucas Gibson,other,1993-11-30,60,(277)996-9254,nicole90@example.org,015 Oscar River Suite 107,North Latoya,Rhode Island,36509,salaried,Harrison-Douglas,39049.68756800755,travel,10345.698452922941,11,True,True,False,True,True,Nicaragua,medical tourism,4923.228627343758,2024-06-05,2024-08-05,True
Richard Hall,male,1961-12-11,58,(619)565-2429,trivera@example.com,832 Mandy Cliffs,Port Ryan,Maryland,58559,business owner,"Hamilton, Sullivan and Davidson",39994.666688089004,travel,14641.958639510296,3,True,True,False,False,True,Iceland,business trip,4254.959559047843,2024-06-11,2024-08-04,False
Robert Gregory,other,1981-06-07,38,418-347-4248x33736,kperez@example.com,469 Hurst Lodge,New Jonathan,Wyoming,56734,salaried,Cervantes-Diaz,45578.787377846515,travel,15427.868723882159,11,True,True,False,False,True,Saint Vincent and the Grenadines,medical tourism,5584.181414381616,2024-06-03,2024-09-25,False
Antonio Moore,other,1990-07-13,38,892.509.1437,john21@example.net,78668 Welch Fall,Connieport,Illinois,60366,business owner,Miller-Beasley,7694.689870016733,travel,18646.702358602513,5,True,True,True,True,True,Mayotte,vacation,6687.719841061788,2024-06-21,2024-09-04,True
Jonathon May,female,2000-04-14,37,+1-458-563-9834x164,wilsonashley@example.com,1438 Steven Centers Apt. 949,Jonesport,New York,20347,self-employed,Sanchez-Barr,38958.01882832388,travel,11093.697134492102,7,False,False,False,False,True,Djibouti,vacation,4169.047044809249,2024-07-17,2024-08-19,False
James Wood,other,1999-09-09,53,001-785-351-9726x45195,boydchristopher@example.net,308 Andrew Cliffs Apt. 603,Port George,New Mexico,60451,salaried,"Nelson, Jimenez and Hernandez",8884.59914886669,travel,2538.324724757329,6,True,False,False,False,True,Colombia,vacation,4401.574546165875,2024-07-22,2024-08-16,False
Phillip Martin,other,1984-04-27,48,523.443.0298x41206,imooney@example.com,5243 Price Gateway Apt. 789,East Meganhaven,Louisiana,80804,self-employed,Ferguson Ltd,14209.967726867568,travel,14068.758362433116,7,False,False,True,True,True,Gambia,vacation,1692.2019172842429,2024-06-10,2024-09-06,True
April Glass,other,1990-12-30,69,+1-766-563-0448,jadereese@example.com,0941 Nichole Parkways Apt. 975,Michaelfort,Alabama,89682,salaried,Herman-Forbes,4453.644601863309,travel,14169.361791447229,6,True,False,False,True,True,Portugal,medical tourism,7988.873576080882,2024-06-06,2024-09-23,True
Brad Rosales,male,1968-05-25,58,001-866-609-2803x886,tammie55@example.com,66713 Willis Way Suite 374,Hayeschester,Montana,76513,salaried,Walker PLC,17131.894100978418,travel,12603.699174400286,7,False,False,True,True,True,Morocco,medical tourism,9992.401623853108,2024-06-07,2024-09-26,False
Timothy Rodriguez,female,1977-08-20,53,+1-787-664-9961x54608,rhamilton@example.com,2572 Barnes Terrace Suite 400,New Dana,Maryland,18050,business owner,"Nguyen, Ramsey and Cox",3741.377354958685,travel,13368.988242343637,3,False,False,False,True,True,Qatar,vacation,3267.5433881475583,2024-07-13,2024-08-28,True
Timothy Morales,female,2006-04-13,33,001-261-507-2348x74671,hsantiago@example.com,2913 Andrew Landing Apt. 385,Donnahaven,Montana,40298,salaried,Armstrong-Ibarra,10788.750335003993,travel,3706.522807689452,11,True,False,False,True,True,Oman,business trip,2699.6270826664518,2024-06-24,2024-09-25,True
Alexander Sandoval,female,1961-06-16,36,001-580-851-0954,holly96@example.com,265 Michelle Manors Suite 165,Port Samuel,Rhode Island,96271,self-employed,"Rios, Smith and Santiago",47211.395157903215,travel,6454.654716249198,8,False,False,False,False,True,Pitcairn Islands,business trip,3517.4070027418275,2024-07-17,2024-08-11,True
Gina Clements,other,1997-12-16,62,356.944.9199x3298,doylelonnie@example.org,2275 Sharon Terrace Suite 898,Port Debbieport,Massachusetts,93059,business owner,Riddle Group,38950.48067595292,travel,2172.26530007796,3,True,False,True,True,True,Malaysia,vacation,7588.268012294502,2024-07-03,2024-09-26,True
Nathaniel Allen,other,2000-11-10,53,502-348-3774x9070,john77@example.net,10093 Mason Cliff,South Cesar,North Dakota,71458,salaried,Kennedy-Anderson,48920.345832650084,travel,18682.96209421061,8,False,False,True,True,True,French Guiana,medical tourism,9311.63177708412,2024-06-20,2024-09-05,True
Robert Hodges,other,1956-09-07,65,(621)905-2013x77606,cory89@example.org,014 Melton Union Suite 092,Bethville,Missouri,39158,salaried,Hernandez and Sons,28869.823662707026,travel,17872.782879782862,4,False,False,False,True,True,Mayotte,vacation,3978.5003174637545,2024-05-26,2024-09-09,False
Robert Smith,male,1966-07-18,32,+1-452-891-4302x49602,jwillis@example.com,744 Katie Drives Suite 749,Millerbury,Tennessee,57946,self-employed,Roach-Burton,34317.76715490841,travel,16452.038560155146,5,True,False,True,False,True,Argentina,business trip,2322.126200003327,2024-06-24,2024-08-14,True
Jessica Duncan,other,1995-11-20,47,561-884-0388,andrew60@example.com,6490 Becker Creek,Lake Angelaview,Iowa,20121,business owner,"Thomas, Price and Jones",21062.06658883276,travel,13813.87491905591,10,True,False,False,True,True,British Indian Ocean Territory (Chagos Archipelago),vacation,3865.944707504051,2024-06-24,2024-09-20,False
Laura Smith,other,1999-11-11,40,(476)506-2969x89872,alexanderjohnson@example.org,58611 Steve Branch Suite 496,Port Hannahbury,North Dakota,97777,salaried,Norman Ltd,10077.448675043435,travel,5614.622953445587,4,False,True,False,True,True,Niger,vacation,3678.363646477099,2024-07-04,2024-09-26,True
Mr. Adam Mcclure PhD,female,1991-10-08,65,(269)840-4490,matthew32@example.com,70355 Stewart Groves Apt. 090,Peterberg,Arizona,10585,salaried,"Davis, Holmes and Gibbs",8375.109169518124,travel,8374.690943561622,4,False,True,False,True,True,Iran,medical tourism,8392.949028675517,2024-06-25,2024-09-26,False
Rhonda Phillips,male,1972-01-31,28,001-469-368-2994,hdawson@example.com,53772 Norman Locks,Kingbury,Texas,43069,self-employed,Padilla Group,22998.7978416237,travel,3117.0073509412314,6,True,False,False,True,True,Grenada,medical tourism,6411.850031621101,2024-07-15,2024-08-21,False
Katherine Novak,female,2003-07-22,52,327-793-7185x0513,ycalderon@example.net,44147 Macdonald Spring Apt. 480,West Rachelfurt,Texas,97385,self-employed,Robinson Ltd,38329.56296975909,travel,3446.7115690187584,11,False,True,True,False,True,French Southern Territories,vacation,5865.708332126717,2024-05-30,2024-07-30,False
Laura Armstrong,male,1976-02-15,53,+1-294-370-9471x561,mariosmith@example.net,4865 Ramirez Port Apt. 313,Blairfurt,Virginia,63941,business owner,Phelps LLC,25366.355833290505,travel,15100.84436158054,6,False,False,False,False,True,Netherlands,vacation,1340.6867831312823,2024-07-23,2024-09-16,False
Darius Villegas,other,1993-01-08,43,(728)257-8955x59465,amy63@example.org,239 Fox Estates,East Eric,Alabama,71609,salaried,Dunlap-Deleon,20662.309783222823,travel,12531.341676219768,3,True,False,False,False,True,Mexico,business trip,6717.645832405159,2024-06-14,2024-09-16,False
James Sharp,female,2004-08-25,41,(244)321-7570x82360,david10@example.net,53939 Glenn Isle Apt. 547,Silvaberg,Michigan,57135,salaried,"Miller, Larson and Lewis",13195.341279741173,travel,19034.53541304117,12,True,False,False,True,True,Egypt,medical tourism,7411.312116641215,2024-07-17,2024-08-03,True
Taylor Cole,male,1988-01-08,67,371.513.7078x4773,scottalexandra@example.org,45482 Ebony Springs Apt. 326,New Chelseaview,Kentucky,46589,business owner,Hess-Pena,5464.3175319761285,travel,9555.462463648131,8,True,False,True,False,True,French Polynesia,business trip,4564.06729261868,2024-06-10,2024-07-31,False
Joshua Torres,other,1973-04-30,32,352.360.8632,jordankelly@example.com,67717 Jonathan Ferry Apt. 541,Levineville,Connecticut,08580,self-employed,"Barron, Thomas and Jackson",43888.12385006753,travel,4116.615743950954,6,False,False,True,True,True,Comoros,business trip,3334.4793160070885,2024-07-03,2024-08-21,True
Mark White,female,2002-05-13,69,001-681-470-3901,deannanorton@example.net,236 Woodward Streets Apt. 081,Ramirezview,Virginia,98454,business owner,Martinez LLC,48515.168566532426,travel,8832.312739696954,3,False,True,False,True,True,Turks and Caicos Islands,vacation,9485.86662194295,2024-05-29,2024-08-05,True
Gina Spence,male,1988-03-31,46,+1-679-290-1268x715,millerchristina@example.com,470 Kevin Summit,New Joshuashire,Louisiana,03305,self-employed,"Keith, Edwards and Alvarez",42832.905337186254,travel,9033.21253509444,3,True,True,False,False,True,Guam,medical tourism,3572.3588663002542,2024-06-04,2024-08-02,True
Veronica Dalton,female,1958-04-24,24,893.771.0159,qbrown@example.net,6968 Bautista Mountains Suite 816,Jamesburgh,Georgia,94755,self-employed,Rogers-Lam,25770.738190660893,travel,18641.644264392926,4,False,True,False,False,True,Bosnia and Herzegovina,vacation,8155.129797700489,2024-06-22,2024-09-21,True
Mark Sims,other,1963-01-09,57,321-928-3930x5590,sanchezrebecca@example.com,63428 Herring Motorway Apt. 363,Johnchester,Maine,79418,business owner,Gibbs PLC,8921.230746055724,travel,17060.900263354924,3,False,True,False,True,True,Burundi,medical tourism,1321.9450701972587,2024-06-30,2024-09-20,True
William Williams,other,1985-01-21,42,950-896-0194x873,iglenn@example.com,490 Richard Knoll Suite 245,South Isaiahborough,Indiana,82800,self-employed,Taylor-Wallace,11304.284655592963,travel,14361.663965132086,7,True,False,True,True,True,Senegal,medical tourism,1297.9934263788034,2024-05-27,2024-09-14,False
Alan Johnson,female,1955-08-15,34,399-719-5674x090,johnlewis@example.net,727 Robert Ports Suite 082,Lake Hollyview,Nevada,52389,salaried,Jackson Inc,28564.415599016444,travel,2620.8110399688953,5,False,False,False,True,True,Spain,medical tourism,9859.65431912696,2024-07-11,2024-09-18,True
David Kidd,male,1955-07-21,36,514.649.5263,harriskenneth@example.com,5407 Nathan Mission,West Daniel,Georgia,45874,business owner,"Reynolds, Larson and Reyes",34622.1131369878,travel,2998.6841174265396,10,False,True,True,False,True,Uganda,business trip,4739.596841834021,2024-06-17,2024-09-21,True
Michael Brown,male,1973-12-14,57,+1-806-286-4773x324,john60@example.net,1527 Katherine Parks Apt. 369,Joseburgh,Alaska,89741,self-employed,Odonnell Group,31916.94493256817,travel,4031.5786033625845,10,True,False,True,False,True,Mayotte,vacation,3039.622936817261,2024-07-08,2024-08-17,False
Rose Miles,other,1987-02-26,34,225.220.7740,fnewman@example.org,58777 Johnson Court Suite 257,Port Kathrynton,Kentucky,07820,salaried,"Lee, Mason and Harrison",24071.444722740103,travel,5203.442426486785,3,True,False,True,True,True,Austria,business trip,2178.977562634497,2024-06-21,2024-08-17,True
Jessica Sanchez,male,1965-07-25,30,+1-687-326-8506,fthomas@example.org,310 Lee Plain Apt. 068,West Jasonborough,Rhode Island,13314,business owner,Lewis-Morales,24204.16101270396,travel,17536.42653539604,10,True,True,False,True,True,Maldives,business trip,5995.324353836762,2024-05-30,2024-08-10,False
Brandon Hoffman,male,1977-09-15,45,+1-882-574-7489x7639,perezrobert@example.com,18218 Wilson Lake,Lake Mary,Wisconsin,28932,business owner,Burns-Bowman,21988.160080741647,travel,13002.060320884495,6,True,False,False,True,True,Mozambique,business trip,4895.175744649287,2024-06-20,2024-09-16,False
Alexander Smith,female,1962-11-28,57,924-352-9442x68509,jacksonnathaniel@example.org,5135 Taylor Street Suite 391,East Michelleton,Colorado,48141,salaried,Nelson LLC,11578.885052742186,travel,8342.448169323932,9,True,False,True,True,True,Bouvet Island (Bouvetoya),vacation,7073.231433637079,2024-06-11,2024-09-02,True
Susan Patterson,other,1957-09-20,30,421.476.0579x760,patriciabailey@example.net,847 Schwartz Mission Suite 847,Port Timothy,Oregon,79651,business owner,Stein-Wallace,43993.009472733764,travel,12501.802356640546,5,True,True,True,False,True,San Marino,medical tourism,1873.343274700226,2024-05-26,2024-09-16,False
Justin Miller,other,1986-06-22,42,294-436-8373,chandlergary@example.org,9819 Jackson Plains,Josephmouth,Rhode Island,10794,self-employed,"Jimenez, Willis and Barnes",37935.37696680859,travel,13587.643395585754,11,True,True,False,True,True,Spain,business trip,3066.902883767393,2024-06-21,2024-09-14,False
Edwin Gardner,male,1965-01-20,26,001-788-781-6069,dixonmichael@example.org,444 Suzanne Land,Lake Brendaview,Virginia,69613,business owner,"Robinson, Moon and Rice",38332.34561480878,travel,10810.672074912816,4,True,False,True,True,True,Wallis and Futuna,business trip,3451.2437624029167,2024-07-21,2024-09-21,False
Jacob Castillo,male,1962-04-15,23,+1-666-441-7700x762,javierwillis@example.org,101 Sheryl Square Suite 283,Holmesview,Arizona,05113,self-employed,Ford Ltd,19479.96743264501,travel,19563.83185547151,11,False,True,True,False,True,Hungary,vacation,5821.366241813077,2024-06-08,2024-08-12,False
Donna Mcpherson,female,1954-08-14,39,(859)262-1727,rmolina@example.org,770 Rowe Lodge Suite 523,Lake Kevinport,Massachusetts,41555,business owner,Howard LLC,34771.253608745326,travel,19977.13342674578,8,True,False,False,True,True,Tanzania,business trip,5992.307999084518,2024-07-19,2024-09-15,False
Bonnie Wilcox,male,1986-06-17,32,(919)227-1291,adamscody@example.com,1300 Patterson Road Apt. 706,South Victormouth,Kansas,65990,salaried,Mcgee Ltd,21197.15079418967,travel,6894.796263611712,12,True,True,True,False,True,Nigeria,vacation,6734.713486488904,2024-06-04,2024-09-24,True
Jordan Allen,other,1983-10-04,24,986-596-6149,cvincent@example.net,4086 Nelson Valley,Billyburgh,Tennessee,12299,self-employed,Rogers Ltd,27238.100079852273,travel,16009.269573418092,10,True,False,True,False,True,Tokelau,vacation,8238.732315781814,2024-07-12,2024-08-07,False
Michael Smith,other,1999-12-09,22,001-971-988-8402,jacobsjonathan@example.com,58519 Aguilar Village,Jamesburgh,Vermont,51614,business owner,"Carter, Matthews and Robinson",12463.848241219534,travel,14636.790464775051,3,False,False,False,False,True,Martinique,vacation,1070.2644405439041,2024-07-23,2024-08-06,True
Gregory Robinson,other,1996-08-26,38,866-303-6457,andre65@example.org,5332 Lester Road,Jennaburgh,Texas,55440,business owner,Hodges-Kelly,22718.956160129073,travel,13161.213762428082,6,True,False,True,True,True,Honduras,medical tourism,7871.619527902422,2024-06-03,2024-08-20,True
Brandon Mathews,other,1990-12-23,39,001-804-425-5763x4576,wolfebenjamin@example.net,49511 David Rest,East Alice,New York,13519,business owner,"Gibson, Nelson and Stevenson",4467.541622341525,travel,9607.06128226156,8,False,True,True,False,True,British Indian Ocean Territory (Chagos Archipelago),business trip,7943.892912837145,2024-06-12,2024-09-30,False
Douglas Miranda,female,2003-03-15,54,(237)303-5717,danayoung@example.com,9633 Jessica Prairie,North Douglasbury,Iowa,91656,business owner,Vega and Sons,24093.208545375128,travel,15577.07460669871,9,True,False,False,True,True,Pakistan,business trip,9092.446445273048,2024-06-25,2024-08-25,False
Jocelyn Hale,other,1977-09-15,68,684.873.5501,sandersjessica@example.org,907 Jason Fort,Lake Brandonfort,Maine,65099,self-employed,"Hunter, Ortega and Leon",38721.889406978305,travel,11491.034407635754,3,False,False,True,True,True,Vietnam,business trip,7658.942437821339,2024-07-10,2024-08-17,False
Eric Williams Jr.,female,1993-10-16,54,+1-963-490-8987x5763,margaret55@example.org,9637 Shane Forge Apt. 899,New Jason,Michigan,86607,self-employed,"Castillo, Gibbs and Cole",9079.500862397068,travel,5340.07705111372,12,False,False,False,True,True,Serbia,business trip,1734.8491099461853,2024-06-19,2024-09-23,False
Briana Peterson,female,1964-09-14,33,(720)346-3502,stephensmichael@example.net,9338 Candice Ports Apt. 925,Dianebury,Nebraska,50559,self-employed,Hall-Brown,39225.419235744455,travel,13191.486500546447,11,True,False,True,False,True,British Virgin Islands,business trip,6634.384217461089,2024-06-10,2024-08-19,True
Raymond Mitchell,male,1964-02-16,21,+1-365-289-3236,millergeorge@example.org,189 David Stravenue Suite 373,New Victortown,Kansas,33440,salaried,Montgomery-Gonzalez,38974.91778654615,travel,11620.194590604253,4,False,True,True,False,True,Cyprus,business trip,8728.691109120484,2024-07-13,2024-09-12,True
Ashley Hernandez,female,1974-07-01,50,(967)784-6235x1959,sandysims@example.com,676 Roberts Orchard,Port Brandy,Minnesota,61848,business owner,Flores and Sons,14918.922183290202,travel,15645.309166512949,5,True,True,False,False,True,Marshall Islands,business trip,4995.63499801439,2024-06-26,2024-08-11,True
Dennis Carter,male,1959-05-24,33,631.518.3765x186,smallmichael@example.net,3229 Smith Trail,Port Zacharyfurt,Kansas,88952,salaried,Flores Inc,24776.332234144425,travel,8153.522444385835,7,False,False,True,False,True,French Polynesia,medical tourism,1198.4035727642731,2024-05-27,2024-08-03,False
Jonathan Mack,male,1982-09-02,59,001-243-878-7898x29064,umunoz@example.com,899 James Ford Suite 304,North Scott,West Virginia,38038,business owner,Huffman and Sons,7913.073020341523,travel,2556.4564076219713,8,True,False,True,True,True,Ecuador,business trip,2970.9324890335483,2024-06-07,2024-08-04,False
Joshua Griffin,other,1955-11-08,31,880-966-6166x2306,zcraig@example.net,212 Mckenzie Pike Suite 709,Phamland,Colorado,16270,salaried,Moody Ltd,18025.22062149291,travel,15084.48329397325,9,True,True,True,True,True,United States of America,business trip,5551.218521942625,2024-05-26,2024-08-25,True
Jennifer Perez,female,1953-11-05,24,(361)230-5800x02854,jennifer73@example.com,6412 Downs Trail,Williamsbury,North Dakota,91536,self-employed,Miller Inc,13358.884384139381,travel,15724.315826008191,12,False,False,True,False,True,Equatorial Guinea,business trip,1936.149260509359,2024-07-07,2024-08-21,False
Amber Dalton,female,1954-07-22,30,685-644-2909,pmeyers@example.net,01076 Carey Ranch Suite 440,Morganchester,Ohio,92432,business owner,Patel and Sons,22529.725056581858,travel,4774.220453538528,6,False,True,False,False,True,Martinique,business trip,3361.244447306989,2024-07-10,2024-09-12,True
Matthew Rivera,female,2005-04-21,38,6593426568,samanthajones@example.net,356 Tiffany Well,New Jennifer,Arkansas,40127,self-employed,"Stephens, Barnett and Hicks",11679.607153888242,travel,14041.699415469295,6,False,True,False,False,True,Bulgaria,vacation,2490.8637601296564,2024-06-19,2024-09-03,True
Leah Aguirre,female,2001-12-12,43,001-275-868-5510,emitchell@example.net,40561 Adam Port,Port Shelbystad,Oregon,96212,salaried,"Moreno, Payne and Huff",26062.306049386007,travel,2149.5103943472973,7,True,True,True,False,True,Luxembourg,vacation,6082.620998832169,2024-05-27,2024-08-06,False
Jaclyn Gomez,female,2001-11-27,70,001-907-404-5825x2473,scotthansen@example.net,512 Laura Harbors,Snyderside,Hawaii,01890,salaried,Ellis Inc,44161.73882124508,travel,4441.795350969169,4,True,True,True,False,True,France,business trip,3923.491484243204,2024-06-28,2024-09-04,True
Jennifer Oneill,other,1974-12-11,31,341-228-0113x7338,stephanie17@example.net,7531 Michael Bridge,Meganmouth,Virginia,80126,salaried,Anderson LLC,32691.672294276876,travel,9600.486129234732,7,False,False,False,True,True,Montserrat,medical tourism,2408.8954236988475,2024-06-23,2024-08-24,True
Mary Rodriguez,male,2003-03-28,32,+1-525-726-8098,victoria32@example.com,42257 Jeffrey Coves Suite 412,Elliotthaven,Utah,05113,salaried,Barker PLC,13755.21516243989,travel,9053.77558540897,5,True,False,False,False,True,Bangladesh,vacation,4787.396174398874,2024-06-04,2024-09-06,False
