fullName,gender,dob,age,contactNumber,email,address,city,state,pin,employmentType,employerName,netMonthlyIncome,loanType,loanAmount,loanTenure,hasIdentityProof,hasAddressProof,hasBankStatement,hasSalaryProof,declaration,businessName,businessType,businessRegistrationNumber,businessStartDate,businessIncome,businessExpenses,businessAssets,businessLiabilities,loanApproved
Dean Allen,female,1983-08-13,22,568-550-5862x17993,uwilkins@example.com,210 Michael Ways,Clarkland,Maryland,48300,salaried,Clark Ltd,9089.068285593088,business,11706.223786227385,21,True,False,False,False,True,Hall-Harris,sole proprietorship,7b3d0909-b523-4b14-8272-1546f65049bd,2001-02-03,39140.64953006695,8301.09692407331,30555.722374056622,9629.114855255488,False
Sandra Kennedy,male,1978-08-10,20,(335)686-4337x599,connor60@example.com,7240 Alejandra Lake,East Mollytown,Rhode Island,81705,self-employed,Schneider-Green,30803.45635429898,business,35708.522997133274,17,True,False,False,True,True,Garcia-Adams,corporation,808b33cf-77b1-4409-b3bb-47ca94eb8254,2021-02-09,49868.51356515382,12432.32477917129,26542.300985231483,4196.3706826755515,True
Gregory Adams,other,2002-01-09,18,(709)668-7480x2757,matthewjones@example.com,21429 Eric Cliffs Apt. 500,Vincentport,Rhode Island,42818,salaried,Harrington and Sons,18071.451123832772,business,68624.93511644384,36,True,True,True,True,True,"Blevins, Munoz and Gomez",partnership,75a82ccd-acee-46ab-9e3c-7c875ebc9cda,2022-10-03,7441.902513242949,11553.212241802868,42475.97702703696,1339.7663457020255,True
Andrew Campbell,female,1974-12-26,57,+1-701-716-0186x089,christopher94@example.org,69299 Berg Harbor,Laurentown,Virginia,73022,self-employed,Johnson-Phillips,34298.37042980853,business,77077.5035004309,20,False,False,False,False,True,Calderon PLC,sole proprietorship,2b7fc338-b07f-4423-8d88-8537dc043162,2021-08-14,35914.51211260773,6770.713885966337,28949.488297155836,8011.260298125432,False
Derrick Stewart,other,2005-11-05,39,+1-787-887-6137x1503,monicaward@example.com,859 Gomez Extensions,South Thomasberg,Massachusetts,19347,business owner,"Larsen, Olson and Levine",7200.15582414139,business,78215.59465298818,13,True,True,True,True,True,"Zuniga, Alvarez and Chang",partnership,80c28774-c803-463a-b76b-69685c849ab5,2016-04-29,20353.811233202665,12442.672955215467,38378.73705030678,6577.407416773859,False
Jason Jones,female,1986-07-21,58,213.481.2343,xcarter@example.com,113 Mary Pike,Lake Barryton,Utah,86914,business owner,Best PLC,3103.2287093670607,business,30475.6458401757,28,False,True,False,False,True,Walsh LLC,corporation,1873af1c-9510-42b9-af7f-2530bb8bf917,2004-12-29,20300.952851569207,13408.770504124279,20493.890472868545,4140.841058337706,True
Calvin Cooper,other,1973-06-03,18,771.547.3702x61944,butlersarah@example.com,874 White Trail,East Albertton,Alaska,38288,self-employed,Byrd Group,46240.72083643612,business,76001.78590246888,12,False,True,False,True,True,Williams LLC,corporation,5ecd211d-5c76-4975-b95a-fc0bc8e5681c,2020-03-06,19880.60948837804,9907.513622013077,44089.26667809982,7391.565315273319,False
Natalie Rodriguez,female,1969-08-30,64,601-288-2058x53836,dmartin@example.net,5501 Solis Lane Apt. 678,North Anna,Connecticut,36748,business owner,Everett Ltd,19073.497847454528,business,49005.286597822065,25,False,False,False,False,True,Ortiz PLC,partnership,580dcf3a-feb7-494f-955c-90000e6421e7,2006-06-04,31105.701279962042,14073.518253277802,22214.524491361633,1636.7780915420394,False
David Wright,other,1971-07-09,37,253.752.5542x73337,williamsnicholas@example.com,48056 Phillips Cove Apt. 984,West Matthewshire,Montana,45525,business owner,"Russell, Guerra and White",33451.46629738824,business,55925.10984229093,14,False,True,True,False,True,Watts-Davis,corporation,b1a87cd4-1bf6-4924-a17a-4b686872306c,2020-02-09,45581.15868897856,16227.230556029692,47552.0102299017,6360.459380406289,False
Anthony Cardenas,female,1981-03-20,34,502-616-8189,chenleah@example.com,197 Anderson Turnpike Apt. 010,East Amandahaven,New Mexico,92117,business owner,Long and Sons,33478.286180759766,business,83661.14945655823,23,False,True,True,True,True,Nelson and Sons,sole proprietorship,65f37f4b-09de-4fac-bdff-a7931f66d501,2005-02-28,47597.30754225133,3418.719165756028,29919.41171747902,2320.6231995211347,True
Margaret Dudley,other,2000-11-23,40,001-383-725-6977x3903,jennifer83@example.org,60113 Elaine Islands,North John,Indiana,19992,self-employed,Page-Morgan,23926.467367757352,business,95411.97458064911,27,False,False,True,True,True,"Holmes, Reed and Gonzalez",corporation,3914c1c1-43b4-4db9-9ae9-4d6979614307,2002-07-05,13542.06288729752,4736.760302753524,26680.629800364895,9160.219025360215,False
William Smith,female,1981-04-11,54,239.427.9428x414,vjohnson@example.net,60926 Ruiz Junctions Suite 584,East Kathrynburgh,Wisconsin,48477,business owner,Simmons-Carrillo,44343.75724927452,business,54530.514933838094,19,True,False,True,False,True,Anderson and Sons,sole proprietorship,878ebfa3-d58c-4114-a92a-9cad2b02634b,2021-08-31,49598.01163290589,15716.12166361985,14850.052564534377,3824.634973487925,False
Michael Obrien,male,1958-10-07,29,999-386-1775,leslie57@example.org,10258 Sarah Extensions Suite 055,Stephenburgh,Massachusetts,26057,salaried,Bradshaw-Gonzalez,44127.032287951544,business,49905.37515680857,34,False,True,True,True,True,"Rivera, Strickland and Howard",corporation,a15122ad-8df8-489e-9dae-315cdc563cf8,2008-02-15,17443.05630031132,18736.693202512677,32710.558901599128,2876.1240765526254,True
William Dixon,female,1999-10-05,18,(558)740-1891,ashley19@example.net,875 Young Vista Apt. 149,West Larry,New Mexico,93021,salaried,Simmons LLC,23649.28819089126,business,65353.16481144716,14,True,True,True,False,True,Maddox-Cervantes,partnership,31b1020c-e296-4e6d-97fc-733e13bed994,2013-11-20,18919.96869082046,11126.289167482522,49896.090672227874,9492.853656657697,False
Beth Cole,male,1990-03-06,33,805-545-7909x4318,kreed@example.net,304 Bautista Fork,Lake Jeremy,Pennsylvania,12415,salaried,Strickland Inc,20984.047564913053,business,27515.19939260583,21,False,True,True,True,True,Baird Ltd,corporation,bf6e2c34-1a99-4ffc-946c-d9dced19a4c9,2009-12-04,21104.28839651336,7858.105782371484,20155.581503598587,4605.890076313556,True
Tyrone Brown,other,1969-05-28,48,514-366-9638x67811,phillipsjennifer@example.org,929 Willis Radial Apt. 253,Wallmouth,Maine,14262,salaried,"Jordan, Johnson and White",34057.59014514703,business,56747.570350306945,34,False,True,True,False,True,"Johnston, Franklin and Serrano",sole proprietorship,28f2ebd7-1786-4ac7-9b1d-5ac0ff069f58,2004-04-08,44451.48800919904,16268.581568076348,49026.84786498548,4390.109621914934,False
Bryan Moore,male,1990-07-01,22,(497)261-0414,ncopeland@example.org,2494 Flores Cape Apt. 351,Denisetown,Indiana,13943,self-employed,Harris-Strong,15391.459367639574,business,74423.49752513251,19,False,False,True,False,True,Morgan-Miles,sole proprietorship,c4130575-cac8-494a-95fd-9163e010e31b,2024-05-29,32563.401327101055,14759.699645078554,41496.34022587346,3620.5458950302973,False
Andrew Willis,female,1986-11-22,46,7218037635,fmiller@example.org,1336 Elizabeth Village Apt. 059,Georgetown,Connecticut,79890,business owner,"Ferrell, Frederick and Davis",8300.59755862303,business,34228.732289145104,32,False,True,True,False,True,Leonard-Torres,sole proprietorship,40975bfb-a668-4453-adf6-6dbc4becd1f7,2020-03-25,15580.726549148856,6580.355131843569,38205.21425187146,4137.530766607484,True
Sandra Alexander,other,1957-03-07,31,906-655-7348x54142,shanescott@example.net,38251 Stephen Track,Christianmouth,North Carolina,17030,self-employed,Bolton-Moore,40674.22607358374,business,36622.14213399106,13,True,True,True,True,True,Garner LLC,corporation,852b2891-709c-4c92-86a5-69f411d95858,2023-02-01,35090.839453777495,16009.011638596457,30808.682834815503,4545.789372910356,True
Stacey Lopez,other,2003-02-02,66,3603191837,ashleyross@example.org,37179 Christopher Tunnel,Hartshire,Michigan,32336,salaried,Edwards-Garcia,47314.74946864903,business,70713.92059110617,24,False,True,False,True,True,Jackson Group,corporation,0af688ed-931d-486f-879c-173bf32ec9b5,2016-08-04,35387.33607588918,19219.995630975496,32471.719674609085,7689.932537523438,False
Tammy Murillo,other,1994-03-10,40,597-374-4837x8072,nyoung@example.org,238 Linda Views Suite 670,Carterchester,Rhode Island,88359,salaried,Soto-Reeves,17930.609397803215,business,55913.42367760224,31,False,False,False,True,True,"Johnson, Ortiz and Taylor",partnership,e1288ac4-d4d1-4a94-8f4a-30acfa0f0869,2003-09-25,8566.016113864043,6407.296176173691,14964.705290285996,4312.935153384519,False
Ian Whitaker,female,1982-01-29,57,417.621.5525,nmills@example.net,193 David Plains,New Maria,New Jersey,71874,salaried,Castaneda and Sons,29665.306527244993,business,45302.344788489245,22,False,True,True,True,True,Williams-Gonzalez,partnership,e59c3606-201a-4d03-a6d0-88b879f4d5b9,2018-09-30,18360.10211070366,16980.08696906321,29219.649254615528,9756.369082147672,False
Jesus Peterson,other,1987-02-04,58,735.339.8978x499,matthewwilliams@example.org,3903 Kevin Throughway,Bakerborough,South Dakota,72010,salaried,Pineda and Sons,5080.228219684597,business,96968.0142102535,30,True,True,False,True,True,Mills PLC,corporation,d578767a-0d9b-46eb-96ce-67dc46310edb,2021-05-02,36408.78970775558,12337.837192832501,41917.336313719774,4730.356907858451,True
Andrew Bautista,female,1970-12-27,21,001-820-798-8150,haroldcombs@example.org,437 Mike Ville Apt. 749,Andrewtown,Delaware,07194,self-employed,Mcdaniel-Thomas,34483.50232766195,business,53696.069254506976,13,False,True,False,False,True,Phillips-Graham,sole proprietorship,6f82f69b-bb05-4624-a6c1-8abfe9282d42,2007-03-15,16445.878604369907,15625.75998043604,34429.320641030936,4170.667226134807,True
Sharon Alvarez,male,1966-09-06,61,(746)521-2023,lauraanderson@example.org,132 Lauren Turnpike Apt. 519,Bethanyview,Rhode Island,59333,salaried,Lee-Hall,40196.35806137467,business,43924.6512492969,14,True,True,False,False,True,"Maxwell, Chan and Matthews",partnership,c5e1926f-ad32-4cde-9579-01c6a71148bd,2012-08-29,9790.757132398212,9912.569540188117,42000.39673667311,1726.530682651072,True
Eric Sandoval,female,1969-03-31,68,799-645-0176,anthonygordon@example.net,6901 Thomas Motorway Suite 304,Beasleyburgh,Maine,31986,business owner,Rios-Lowe,32781.04490232742,business,77581.63459753722,14,True,False,True,True,True,Myers-Castillo,corporation,b30d875d-7b36-43a8-afb4-109349552c3f,2005-09-04,20844.755979943453,14635.517382263675,45590.276149771875,4291.10020674537,True
Nicole Harris,female,1990-02-09,61,+1-549-634-6515x287,martinezbailey@example.net,97367 Kathleen Green,South Carrieland,Hawaii,62997,self-employed,Kim-Terrell,38179.681881840894,business,55602.19440081007,28,False,True,True,True,True,Collier PLC,corporation,ffa27cf6-8724-4d29-9cf7-33c8e4642a26,2021-06-10,31696.73940724968,19894.449652543903,42857.81942429975,2728.1102056495383,False
Marilyn Wyatt,other,1981-06-30,40,(539)847-9397x21568,howardnancy@example.net,814 Sara Run,Allisonstad,Michigan,76121,business owner,Webb Ltd,27191.569424673453,business,42154.24406592478,28,True,True,True,True,True,"Griffin, Hooper and Marks",corporation,c0408f54-74cf-40a0-bb35-08d5b0fe55cf,2002-08-25,25837.328880097943,14785.297762872415,48653.9246887019,1990.4182652432523,True
Joseph Williams,male,1972-05-09,40,(733)450-1106x82822,james01@example.net,719 Smith Wall Apt. 440,East Crystal,Washington,66534,salaried,Baker PLC,6955.6160273860005,business,21261.75083331661,13,False,False,False,True,True,Brown-Wiley,partnership,78fb9073-0445-4006-8f5d-a28fd7de76ce,2019-10-12,43912.621480492984,8711.67514224205,17626.084502483056,2106.0515194400086,True
Douglas Carter,female,1978-01-21,40,937-993-5010x8025,pharrison@example.org,65860 Joshua Pine,New Rebeccamouth,Virginia,40657,business owner,Smith-Ross,29844.549956025294,business,13750.52917770785,19,False,True,True,True,True,Williams-Morgan,partnership,7b8f5284-fd76-468a-a6ba-b1529a88a91e,2015-02-17,37864.70849772891,15543.999737457654,43295.381886986324,8267.070319188106,False
Jennifer Brown,other,1959-11-01,50,(585)286-2201x468,goliver@example.org,743 Shaw Inlet,Ortizstad,Rhode Island,55887,business owner,"Wood, Mckay and Waters",40498.73327536911,business,95726.46553233046,30,True,False,True,False,True,Taylor LLC,sole proprietorship,e8efa2ff-ba94-4067-88bd-6e9cd72ee7fe,2011-10-15,49838.03429303869,6251.219015304222,22404.03458173161,8687.636720008079,True
Mary Davis,other,1964-10-16,56,001-735-769-5782,xrodriguez@example.org,759 John Gateway Suite 340,New Brandonton,Wyoming,58231,salaried,Taylor-Morton,30776.23538467822,business,79025.66871538069,34,True,True,True,True,True,"Marshall, Pollard and Wilson",partnership,afd46d29-14cf-4e11-97f5-5f46a914dabf,2020-05-13,33735.671521634504,19082.971626525097,29462.84174855426,8523.262292281312,False
Michelle Russell,female,1990-02-18,64,915.723.6976x42506,julie26@example.net,491 Jones Summit,South Joshua,Texas,37519,business owner,Barnes and Sons,37518.59390869363,business,38495.79532007138,27,True,False,False,False,True,Cook-Morse,sole proprietorship,49a9326e-ea54-499a-a205-ed5cdcd904eb,2011-10-11,11925.079276946872,2599.9349608935495,31123.449052275606,5889.576139174078,True
Robert Cook,male,2000-11-25,26,001-630-666-9634x5913,charlesdoyle@example.net,0021 Rich Corners,North Jacob,Kansas,60501,self-employed,Vance LLC,2336.0409811632953,business,52657.92273566856,33,False,True,True,True,True,"Cole, Kelley and Turner",sole proprietorship,1e810675-4ab0-4d49-9b58-0a06c6ef0eb1,2019-05-28,37857.44874570518,13518.256812916608,34746.42377164529,6814.301471494644,False
Keith Smith,other,1975-02-19,69,(288)812-0019,lucassummer@example.org,39274 Lloyd Island Apt. 444,Leemouth,North Carolina,51987,self-employed,Jones-Davis,49364.22057794845,business,97876.94782241245,27,False,False,False,False,True,"Davis, Obrien and Davis",sole proprietorship,b2bf9d55-891a-4dfd-9819-7793caab4309,2003-11-20,15518.186863225908,13798.278470136382,41931.47313908411,6411.00095226892,False
John Ballard,female,1996-09-23,61,566-858-5483x91304,ostone@example.net,4452 Catherine Unions Apt. 365,South Marc,South Dakota,27386,salaried,Collins-Price,31484.522989771398,business,40594.43344250797,26,True,False,True,True,True,Harrison-Jones,sole proprietorship,fa69e35b-2fa4-487f-958b-b11f82b922d6,2001-01-26,7263.0595702342625,14471.587526954549,16459.733549990196,5812.932991711397,False
Denise Taylor,female,1984-01-10,32,872.651.8988,beanbecky@example.net,832 Taylor Extensions,Jonathanton,Utah,09996,salaried,Lopez and Sons,5192.200492686389,business,63166.28211436851,21,False,False,False,True,True,Martin-Ortiz,corporation,f1400852-c080-4cc9-99ba-e7d524f17af2,2005-09-10,13019.748558803569,6228.6624490912245,39769.508527846454,1501.3642565496339,True
Terri Fletcher,other,1974-08-25,49,633-757-0032x524,rgill@example.com,4744 Julie Path Apt. 806,Richardhaven,Tennessee,01815,business owner,"Maxwell, Perez and Cross",12607.328661090436,business,68706.8047265829,26,True,False,False,True,True,Harris PLC,sole proprietorship,d1c27164-ca87-4a47-8882-6663051ef81b,2009-03-03,12660.030758340683,12100.825252747869,25487.74299866892,7210.758995230994,False
Kristina Green,other,1957-02-12,48,519-464-7085x57474,mdiaz@example.org,811 Williams Route Apt. 212,Port Michael,Michigan,99085,salaried,Lee-Moore,13776.163137206617,business,94554.44524445056,30,True,False,True,True,True,Diaz-Patrick,corporation,475e08db-7595-4068-9947-09027804ec40,2013-09-18,32024.559101914696,8369.84103107285,13209.797997167127,5211.691163711825,False
Sean Shannon,other,1989-10-19,45,+1-235-625-5871x05474,mshelton@example.net,6770 Angela Parkways,East Nicolechester,Ohio,66862,self-employed,"Graham, Patrick and Snyder",7219.797271329094,business,27409.281201750175,25,False,False,True,True,True,"Perry, Harris and Rangel",sole proprietorship,f13c0965-3daa-4cbe-a3db-b41a1684ce37,2013-09-22,8792.022307982708,6846.791979363369,11063.096568513804,1958.134409622598,False
Rose Torres,male,1972-10-04,48,+1-273-603-8567x7337,juliahill@example.com,6906 Lisa Neck,South Jamesfort,Kansas,52952,salaried,Brewer and Sons,46645.88156486718,business,46770.548968869996,12,True,True,False,False,True,Jacobs-Williams,partnership,efe59f84-de96-4674-a6af-7bdd7f146097,2022-10-11,32720.736503176686,15260.62700245878,11337.380530652714,3291.0843216838452,False
Sergio Rubio,other,1968-01-11,69,784.863.5911x6674,danielstone@example.net,23748 Jeffrey Hills Suite 885,New Jasonburgh,South Carolina,31684,self-employed,Wilson and Sons,39078.30339091956,business,96139.56910354455,20,False,True,True,False,True,Wheeler-Clements,sole proprietorship,0f2f3e6b-d860-452b-86ea-7cab8bae5f7f,2013-09-02,46387.84521677598,10768.44622351373,20121.23700427365,2608.7471666017636,True
Jennifer Cole,male,1985-02-07,37,001-277-410-4289x03215,terrencerodriguez@example.org,26884 Patricia Highway,Deborahbury,Maryland,05173,self-employed,Welch-Lee,3211.1544372434455,business,37443.51315304011,13,False,True,True,True,True,Moore and Sons,partnership,4dee05c3-ec29-4f53-ad7d-95a97f8b27c0,2024-05-09,13635.67956310921,18453.996050129423,26394.72486827394,6723.104331842142,False
Jocelyn Smith,other,1957-06-15,23,2918215649,jmcknight@example.org,6895 Howell Island Suite 387,West Jamesborough,Idaho,47040,salaried,Mclaughlin-Sanchez,2141.957613160125,business,33071.07581689628,28,True,False,False,True,True,Holland-Jordan,partnership,80bf2528-24f3-4669-ad1b-9116a5e3274e,2014-04-07,49779.730910660764,11765.301778066476,16693.62854009516,9754.68919113691,True
Brian Meza,female,1956-03-11,24,(457)749-5260x01067,elliotttravis@example.org,276 Dennis Crest,Richardside,Connecticut,39632,salaried,Clark Inc,47705.27755936833,business,24284.90516691899,12,True,False,True,False,True,Jones Group,partnership,94d29e77-19b8-4e9a-b0bd-a42d3c6112ac,2004-07-17,11538.561263448973,6539.951864537413,25231.174874220036,8295.631782341705,False
Felicia Wallace,female,1963-12-26,57,001-779-842-4471x05822,jennifer85@example.com,546 Karen Brooks Suite 829,Hahnton,Rhode Island,97527,business owner,"Vega, Oliver and Newton",16970.824925859837,business,19791.01964222051,30,True,False,True,False,True,"Lowe, Bailey and Holder",sole proprietorship,f0bc7d2d-8ddd-492a-b271-c18f3541a865,2015-08-01,5452.880853287609,5767.210850107182,23930.099363723835,5913.586359854969,False
Johnny Johnson,female,1966-05-24,46,6935135691,qashley@example.com,882 Turner Locks Apt. 956,Lake Diana,Ohio,43205,salaried,Stone Ltd,34056.486458034386,business,37413.90753348601,15,True,True,True,False,True,"Smith, Hall and Harris",sole proprietorship,71b009aa-0193-4913-9bb7-4a79f27fc0ec,2004-07-09,37961.082129040704,6891.917610441788,48485.41703202662,4487.876670298159,True
Micheal Santiago,female,1994-06-13,20,671-805-5198x8534,kellyholland@example.com,06301 Hill Crossroad Apt. 629,East Jeremiah,Wyoming,18644,business owner,Rios PLC,12112.66260535987,business,69680.62924772888,31,True,True,True,True,True,"Thomas, Day and Macias",partnership,d18864d6-f36e-4a62-bff2-0add2cdbf9a5,2020-02-14,48190.47778803007,3137.944950630962,23354.629046679023,2507.104212752184,True
Katherine Gilbert,other,1989-03-09,58,(519)619-0965x87698,matthew37@example.com,964 Mitchell Mountain Suite 392,Samuelshire,Tennessee,28305,self-employed,Johnson LLC,45307.75451654962,business,20708.542145669315,13,True,True,False,True,True,Craig-Stewart,sole proprietorship,fb15b3c9-3e83-4306-be84-3e982d6a3986,2013-01-15,46181.23899552985,3728.4028402064605,43237.088690749304,4640.51403040603,True
Sherry Vargas,other,1955-01-17,40,4669335521,englishjacqueline@example.com,9039 Tanner Isle Suite 467,Port David,Oklahoma,11186,self-employed,Davis-Kramer,26356.513239697884,business,15481.46692236382,23,True,True,True,True,True,"Phillips, Henry and Rodriguez",partnership,18e7ca09-7285-4d92-b80a-daf4136ced67,2002-09-17,15863.332448196994,11570.885758136064,41985.67850121847,2979.72409656767,False
Dana Arellano,female,1961-06-08,56,+1-379-613-9164x337,williamsmichael@example.com,32698 Miller Fork Suite 416,New Tanyaland,New Jersey,91028,business owner,"Huber, Walker and Anderson",38848.52618008128,business,17221.707576169312,26,True,False,True,False,True,Cain Ltd,corporation,22dc6072-7e14-441e-92d7-4f72f7e6cd42,2000-07-19,33631.940096192346,14095.87667725234,34837.999782967716,5027.447036090557,False
Danielle Smith,other,1991-02-20,41,(994)874-3823,jacqueline44@example.net,35425 Taylor Crossroad Suite 774,New Chris,Arkansas,69945,business owner,Williams Inc,6734.552709494987,business,39530.7799449499,14,True,False,False,True,True,"Murray, James and Francis",partnership,1356ca0a-c9fd-40c4-a1c8-1c73f73e214b,2001-12-14,37134.8316558932,2270.772505712105,32583.96807071381,3633.4224616689767,True
Michael Scott,other,1974-08-05,37,798-545-9510x526,pwalls@example.net,62107 Flores Roads Suite 754,Millerland,Alabama,33505,business owner,Henson-Williams,31106.25823233672,business,50085.982449968695,14,False,False,True,True,True,Lopez PLC,partnership,42e1a0a1-4077-4bca-93e6-2a9d647cd87c,2014-11-27,38992.771508986894,3867.637754656352,14480.65296145633,5334.685425107157,False
Erica Glover,female,2005-04-25,42,(663)435-6451x334,ashleybrown@example.net,208 Hubbard Alley Suite 677,Walterbury,Maryland,01475,self-employed,Keller-Ward,42489.83881897011,business,27821.489439546534,19,True,True,True,True,True,"Mitchell, Sanchez and Clark",corporation,8c13e5c6-af0a-4e51-8ca9-e41ea3dd4481,2000-08-25,34370.36303937454,18293.567514285445,29193.89509871127,7891.665096016089,False
Wayne Miller,female,1966-01-04,50,001-835-594-3198x33728,hgutierrez@example.net,29677 Francisco Plains Suite 390,Mooreborough,Montana,52604,self-employed,Wells Inc,19654.51982942886,business,32323.251788258014,14,False,False,True,True,True,"Mcclure, Jefferson and Turner",sole proprietorship,0a983f91-ce79-4ee4-a9ee-c302f348bb0f,2008-05-04,32427.028170917976,10078.157606787427,14171.359373428255,2505.724829232261,True
Jacob Rodriguez,other,1979-07-25,31,(201)232-8159,davidreid@example.com,8688 Johnson Flats Apt. 641,Carrillobury,Massachusetts,35173,business owner,Rose Inc,24346.8000672109,business,50656.983352275,32,True,True,False,True,True,"Smith, Miller and Wang",sole proprietorship,79540de8-85cc-45df-b756-ce9f88a2c9d4,2021-01-21,17072.283798175744,11705.919087300099,21155.172063249927,1196.3346517624016,True
Craig Williams,other,1981-12-12,56,310-518-4567,nancyrobinson@example.com,668 Natalie Circles Suite 798,Michaelview,North Carolina,91487,self-employed,"Strong, Ellison and Miller",31308.976832629673,business,52984.49236721389,21,True,True,False,False,True,"Black, Wright and Booth",sole proprietorship,25f2f295-1297-480c-99bf-911affb4d2e2,2001-01-19,14202.082203352962,2336.3008658883778,38793.34754821537,8503.920389972522,True
Jeanne Williamson,other,1974-03-17,29,(483)408-0842x92839,holtjames@example.com,0336 Janice Circles,Berryton,Arkansas,77576,self-employed,Burgess-Pierce,22025.122115800812,business,54983.668742725175,29,True,False,False,True,True,"Alexander, Macias and Payne",sole proprietorship,8e909334-f545-4c49-a864-0e63ae3689e5,2018-09-05,11896.945365942776,11316.760474868044,13447.305429556392,1941.354882690302,False
Andrew Peters,other,2004-03-17,54,+1-429-862-4937x491,christopher52@example.net,4834 Schneider Stravenue,Bakerstad,Massachusetts,66762,self-employed,Wong LLC,38212.22633697832,business,98559.02776995306,13,True,False,True,True,True,"Cook, Marquez and Dennis",corporation,57a3a96a-a55d-4aea-9e53-fda25b06a55b,2013-10-08,29429.08858296746,14807.491120696988,40082.54426703417,6583.740895280423,True
